time_s;ndir_ppm;qcl_ppm
5805.0;24.5;25.0
5810.0;23.9;25.0
5815.0;23.6;25.0
5820.0;23.5;24.9
5825.0;24.1;24.9
5830.0;23.7;25.0
5835.0;24.0;24.9
5840.0;24.2;24.9
5845.0;24.2;25.0
5850.0;24.0;25.0
5855.0;24.6;25.0
5860.0;24.2;24.9
5865.0;24.5;25.0
5870.0;24.4;25.0
5875.0;23.7;25.0
5880.0;23.8;24.9
5885.0;23.9;25.0
5890.0;23.7;24.9
5895.0;23.5;24.9
5900.0;23.2;25.0
5905.0;23.5;24.9
5910.0;23.7;24.9
5915.0;23.5;25.0
5920.0;23.2;24.9
5925.0;23.1;24.9
5930.0;22.6;25.0
5935.0;23.1;24.9
5940.0;23.2;24.9
5945.0;23.5;25.0
5950.0;23.9;24.9
5955.0;24.0;24.9
5960.0;23.7;24.9
5965.0;23.6;24.9
5970.0;24.1;25.0
5975.0;24.4;24.9
5980.0;24.3;24.9
5985.0;24.2;24.9
5990.0;24.0;24.9
5995.0;24.1;25.0
6000.0;24.5;24.9
6005.0;24.1;24.9
6010.0;23.5;25.0
6015.0;24.0;24.9
6020.0;23.7;25.0
6025.0;23.6;24.9
6030.0;23.2;24.9
6035.0;23.2;24.9
6040.0;23.7;25.0
6045.0;23.9;25.0
6050.0;23.9;25.0
6055.0;23.6;25.0
6060.0;23.2;25.0
6065.0;23.7;25.0
6070.0;23.9;25.0
6075.0;24.0;25.0
6080.0;23.7;24.9
6085.0;24.2;24.9
6090.0;23.7;24.9
6095.0;23.6;25.0
6100.0;24.4;25.0
6105.0;24.1;24.9
6110.0;24.0;25.0
6115.0;24.6;24.9
6120.0;24.8;25.0
6125.0;24.0;25.0
6130.0;23.7;24.9
6135.0;23.6;24.9
6140.0;23.9;24.9
6145.0;24.3;25.0
6150.0;24.2;25.0
6155.0;24.2;25.0
6160.0;24.2;25.0
6165.0;24.1;24.9
6170.0;24.6;25.0
6175.0;23.9;24.9
6180.0;23.7;24.9
6185.0;23.7;25.0
6190.0;23.7;25.0
6195.0;23.7;24.9
6200.0;23.5;25.0
6205.0;23.2;24.9
6210.0;23.6;25.0
6215.0;23.6;24.9
6220.0;24.2;24.9
6225.0;24.0;25.0
6230.0;24.0;25.0
6235.0;24.0;24.9
6240.0;23.9;24.8
6245.0;23.9;24.9
6250.0;24.3;24.8
6255.0;24.3;24.8
6260.0;24.5;24.9
6265.0;24.3;24.9
6270.0;24.0;25.0
6275.0;23.9;24.9
6280.0;24.4;24.9
6285.0;24.2;24.9
6290.0;24.4;24.9
6295.0;24.5;24.9
6300.0;24.0;25.0
6305.0;23.7;24.9
6310.0;23.9;24.9
6315.0;23.6;24.8
6320.0;23.9;24.8
6325.0;24.0;24.7
6330.0;24.0;24.8
6335.0;23.7;24.9
6340.0;24.0;24.8
6345.0;23.6;24.8
6350.0;23.9;24.8
6355.0;23.7;24.9
6360.0;24.3;24.7
6365.0;23.4;24.8
6370.0;23.7;24.8
6375.0;24.0;25.0
6380.0;24.2;24.9
6385.0;23.9;25.0
6390.0;23.7;25.0
6395.0;23.9;25.0
6400.0;23.5;25.0
6405.0;23.6;25.0
6410.0;23.5;25.0
6415.0;23.6;25.0
6420.0;24.4;25.0
6425.0;23.4;25.0
6430.0;24.0;25.0
6435.0;23.7;25.0
6440.0;23.5;24.9
6445.0;23.5;24.9
6450.0;24.3;25.0
6455.0;24.2;25.0
6460.0;23.9;25.0
6465.0;23.2;25.0
6470.0;23.6;25.0
6475.0;23.7;25.0
6480.0;24.3;24.9
6485.0;24.0;25.0
6490.0;24.1;25.0
6495.0;23.9;25.0
6500.0;24.1;25.0
6505.0;23.2;25.0
6510.0;23.4;25.0
6515.0;23.6;25.0
6520.0;23.4;25.1
6525.0;23.9;25.1
6530.0;24.2;25.0
6535.0;24.2;25.0
6540.0;23.9;25.0
6545.0;24.0;25.0
6550.0;23.7;25.0
6555.0;23.9;25.0
6560.0;23.6;25.0
6565.0;23.5;25.0
6570.0;23.7;24.9
6575.0;23.7;24.9
6580.0;24.1;25.0
6585.0;24.1;25.0
6590.0;24.0;25.0
6595.0;24.3;25.0
6600.0;24.4;25.0
6605.0;24.1;25.0
6610.0;24.0;25.0
6615.0;24.2;25.1
6620.0;24.5;25.0
6625.0;24.0;24.9
6630.0;24.0;24.9
6635.0;23.5;25.0
6640.0;23.9;24.9
6645.0;23.7;24.9
6650.0;23.5;25.0
6655.0;23.1;25.0
6660.0;23.7;25.0
6665.0;24.2;25.0
6670.0;24.0;25.0
6675.0;24.0;24.9
6680.0;24.0;24.9
6685.0;24.2;24.9
6690.0;24.5;25.0
6695.0;24.0;25.1
6700.0;23.7;25.0
6705.0;23.6;25.0
6710.0;24.1;24.9
6715.0;24.5;25.0
6720.0;23.9;24.9
6725.0;23.7;24.9
6730.0;24.2;24.9
6735.0;24.4;24.9
6740.0;24.5;25.0
6745.0;24.4;25.0
6750.0;24.0;25.0
6755.0;23.9;25.0
6760.0;24.0;25.1
6765.0;23.7;25.1
6770.0;24.1;25.1
6775.0;24.0;25.1
6780.0;24.0;25.1
6785.0;24.1;25.1
6790.0;23.5;25.1
6795.0;23.7;25.1
6800.0;23.9;25.0
6805.0;24.0;25.1
6810.0;24.5;25.0
6815.0;24.5;25.1
6820.0;24.2;25.1
6825.0;23.7;25.1
6830.0;23.9;25.1
6835.0;23.9;25.0
6840.0;24.3;25.0
6845.0;23.9;25.0
6850.0;24.5;25.1
6855.0;24.0;25.0
6860.0;23.6;25.1
6865.0;23.7;25.0
6870.0;23.4;25.1
6875.0;23.9;25.1
6880.0;23.6;25.1
6885.0;24.2;25.1
6890.0;24.2;25.0
6895.0;24.0;25.0
6900.0;24.3;25.0
6905.0;24.4;25.1
6910.0;24.8;25.0
6915.0;24.5;25.2
6920.0;24.5;25.1
6925.0;24.5;25.1
6930.0;23.5;25.1
6935.0;23.7;25.1
6940.0;24.1;25.1
6945.0;24.3;25.1
6950.0;24.4;25.0
6955.0;23.9;25.1
6960.0;24.2;25.0
6965.0;23.6;25.0
6970.0;23.7;25.1
6975.0;24.5;25.1
6980.0;24.3;25.1
6985.0;23.7;25.1
6990.0;24.1;25.1
6995.0;24.7;25.1
7000.0;24.2;25.1
7005.0;24.0;25.1
7010.0;24.4;25.1
7015.0;24.8;25.2
7020.0;24.4;25.1
7025.0;24.0;25.1
7030.0;24.2;25.1
7035.0;24.0;25.1
7040.0;24.5;25.1
7045.0;23.9;25.0
7050.0;24.1;25.1
7055.0;23.9;25.1
7060.0;24.6;25.0
7065.0;24.4;25.0
7070.0;24.4;25.2
7075.0;24.5;25.1
7080.0;24.2;25.0
7085.0;24.3;25.1
7090.0;24.0;25.1
7095.0;24.5;25.1
7100.0;24.5;25.1
7105.0;24.5;25.1
7110.0;23.8;25.0
7115.0;24.0;25.0
7120.0;24.6;25.1
7125.0;24.5;25.1
7130.0;24.8;25.0
7135.0;24.9;25.1
7140.0;24.3;25.1
7145.0;24.3;25.1
7150.0;24.1;25.1
7155.0;24.5;25.0
7160.0;24.0;25.0
7165.0;23.9;25.0
7170.0;24.0;25.0
7175.0;23.9;25.0
7180.0;24.5;25.0
7185.0;24.6;25.1
7190.0;24.5;25.1
7195.0;24.5;24.9
7200.0;23.6;25.1
7205.0;23.5;25.0
7210.0;23.9;25.0
7215.0;24.5;24.9
7220.0;24.4;24.9
7225.0;24.2;24.9
7230.0;24.3;24.8
7235.0;24.2;24.9
7240.0;24.0;24.9
7245.0;24.0;25.1
7250.0;24.8;25.2
7255.0;25.0;25.1
7260.0;24.4;24.9
7265.0;24.5;24.9
7270.0;24.5;24.9
7275.0;24.0;24.9
7280.0;24.5;24.9
7285.0;25.0;24.9
7290.0;24.1;24.9
7295.0;23.9;24.9
